Category,Nutrients_Comp,ProductName
Vegetables and vegetable products,"Energy-43Kcal,Water-88.5g,Protein-1.4g,Fat-0.1g,CHO-9.0g,Fibre-0.3g,Ash-0.7g,Ca-69.0mg,P-50.0mg,Fe-1.4mg,Na-26.0mg,K-369.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.4mg,C-14.9mg",Beetroot (Akar bit) ; Beta vulgaris
Vegetables and vegetable products,"Energy-29Kcal,Water-91.2g,Protein-4.1g,Fat-0.1g,CHO-2.8g,Fibre-1.0g,Ash-0.8g,Ca-40.0mg,P-66.0mg,Fe-0.7mg,Na-12.0mg,K-226.0mg,Retinol-0.0ug,Carotenes-283.0ug,Re-47.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.6mg,C-85.0mg",Broccoli (Brokoli) ; Brassica oleracea
Vegetables and vegetable products,"Energy-58Kcal,Water-80.9g,Protein-3.8g,Fat-0.4g,CHO-9.7g,Fibre-2.7g,Ash-2.5g,Ca-219.0mg,P-83.0mg,Fe-1.7mg,Na-33.0mg,K-707.0mg,Retinol-0.0ug,Carotenes-1,447.0ug,Re-241.0ug,B1-0.2mg,B2-0.2mg,Niacin-0.4mg,C-78.9mg",Kadok (Kadok) ; Piper sarmentosum
Vegetables and vegetable products,"Energy-16Kcal,Water-95g,Protein-0.5g,Fat-0.0g,CHO-3.4g,Fibre-0.6g,Ash-0.5g,Ca-14.0mg,P-21.0mg,Fe-0.2mg,Na-13.0mg,K-76.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.1mg,C-9.7mg",Cucumber (Timun) ; Cucumis sativus
Vegetables and vegetable products,"Energy-74Kcal,Water-79.8g,Protein-7.6g,Fat-1.8g,CHO-6.9g,Fibre-1.9g,Ash-2.0g,Ca-234.0mg,P-64.0mg,Fe-3.1mg,Na-22.0mg,K-509.0mg,Retinol-0.0ug,Carotenes-9,730.0ug,Re-1,622.0ug,B1-0.2mg,B2-0.2mg,Niacin-0.7mg,C-136.0mg",Cekur manis (Cekur manis) ; Sauropus androgynus
Vegetables and vegetable products,"Energy-88Kcal,Water-72g,Protein-7g,Fat-0.4g,CHO-14.0g,Fibre-4.7g,Ash-1.9g,Ca-120.0mg,P-72.0mg,Fe-1.9mg,Na-8.0mg,K-557.0mg,Retinol-0.0ug,Carotenes-2,260.0ug,Re-377.0ug,B1-0.1mg,B2-0.4mg,Niacin-0.7mg,C-63.8mg",Cemperai (Cemperai) ; Champereia griffithii
Vegetables and vegetable products,"Energy-47Kcal,Water-81g,Protein-3.9g,Fat-0.7g,CHO-6.2g,Fibre-7.0g,Ash-1.2g,Ca-39.0mg,P-118.0mg,Fe-1.2mg,Na-35.0mg,K-544.0mg,Retinol-0.0ug,Carotenes-1,366.0ug,Re-228.0ug,B1-0.3mg,B2-0.2mg,Niacin-2.0mg,C-54.8mg","Chilli, small (Cili padi)"
Vegetables and vegetable products,"Energy-40Kcal,Water-86.9g,Protein-2.1g,Fat-0.5g,CHO-6.8g,Fibre-3.0g,Ash-0.7g,Ca-19.0mg,P-80.0mg,Fe-1.6mg,Na-3.0mg,K-264.0mg,Retinol-0.0ug,Carotenes-176.0ug,Re-29.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.7mg,C-158.0mg","Chilli, green (Lada hijau) ; Capsicum annuum"
Vegetables and vegetable products,"Energy-18Kcal,Water-94.6g,Protein-1g,Fat-0.1g,CHO-3.3g,Fibre-0.7g,Ash-0.3g,Ca-19.0mg,P-3.0mg,Fe-1.6mg,Na-8.0mg,K-51.0mg,Retinol-0.0ug,Carotenes-1,590.0ug,Re-265.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.4mg,C-11.0mg","Gourd, snake (Ketola ular) ; Tricosanthes anguina"
Vegetables and vegetable products,"Energy-159Kcal,Water-58.7g,Protein-4.3g,Fat-0.1g,CHO-35.2g,Fibre-0.8g,Ash-0.9g,Ca-10.0mg,P-111.0mg,Fe-0.8mg,Na-11.0mg,K-329.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.2mg,B2-0.1mg,Niacin-0.4mg,C-13.3mg","Garlic, bulbs (Bawang putih) ; Allium sativum"
Vegetables and vegetable products,"Energy-37Kcal,Water-87.7g,Protein-2g,Fat-0.2g,CHO-6.7g,Fibre-1.6g,Ash-1.8g,Ca-171.0mg,P-32.0mg,Fe-5.6mg,Na-21.0mg,K-391.0mg,Retinol-0.0ug,Carotenes-2,649.0ug,Re-442.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.1mg,C-48.5mg",Indian Pennywort (Pegaga) ; Hydrocotyle asiatica
Vegetables and vegetable products,"Energy-25Kcal,Water-91.3g,Protein-1.9g,Fat-0.1g,CHO-4.1g,Fibre-1.9g,Ash-0.7g,Ca-16.0mg,P-76.0mg,Fe-0.3mg,Na-2.0mg,K-45.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.1mg,C-14.0mg",Leek (Tai-suen) ; Allium porrum
Vegetables and vegetable products,"Energy-30Kcal,Water-89.1g,Protein-3.9g,Fat-0.6g,CHO-2.2g,Fibre-3.0g,Ash-1.2g,Ca-114.0mg,P-14.0mg,Fe-2.8mg,Na-18.0mg,K-234.0mg,Retinol-0.0ug,Carotenes-3,619.0ug,Re-603.0ug,B1-0.2mg,B2-0.3mg,Niacin-1.0mg,C-115.0mg",Mengkudu (Mengkudu) ; Morinda citrifolia
Vegetables and vegetable products,"Energy-43Kcal,Water-87.9g,Protein-2.8g,Fat-0.2g,CHO-7.4g,Fibre-0.6g,Ash-1.1g,Ca-179.0mg,P-5.0mg,Fe-2.0mg,Na-19.0mg,K-378.0mg,Retinol-0.0ug,Carotenes-3,015.0ug,Re-503.0ug,B1-0.1mg,B2-0.2mg,Niacin-1.0mg,C-107.0mg","Kale, Chinese (Kai-lan-coy) ; Brassica alboglabra"
Vegetables and vegetable products,"Energy-10Kcal,Water-96g,Protein-0.4g,Fat-0.0g,CHO-2.2g,Fibre-0.5g,Ash-0.9g,Ca-35.0mg,P-2.0mg,Fe-1.4mg,Na-29.0mg,K-345.0mg,Retinol-0.0ug,Carotenes-25.0ug,Re-4.0ug,B1-0.1mg,B2-0.0mg,Niacin-0.6mg,C-70.5mg",Lotus root (Akar teratai) ; Nelumbo nucifera
Vegetables and vegetable products,"Energy-20Kcal,Water-94.2g,Protein-1.1g,Fat-0.4g,CHO-2.9g,Fibre-0.6g,Ash-0.8g,Ca-28.0mg,P-0.4mg,Fe-0.7mg,Na-45.0mg,K-142.0mg,Retinol-0.0ug,Carotenes-17.0ug,Re-3.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.6mg,C-4.9mg","Loofah, angled (Ketola segi) ; Luffa acutangula"
Vegetables and vegetable products,"Energy-91Kcal,Water-73.2g,Protein-2.8g,Fat-0.7g,CHO-18.4g,Fibre-2.8g,Ash-2.1g,Ca-232.0mg,P-19.0mg,Fe-3.2mg,Na-19.0mg,K-308.0mg,Retinol-0.0ug,Carotenes-7,433.0ug,Re-1,239.0ug,B1-0.2mg,B2-0.2mg,Niacin-2.8mg,C-125.0mg",Kesom (Kesom) ; Polygonum minus
Vegetables and vegetable products,"Energy-50Kcal,Water-86.7g,Protein-7.2g,Fat-0.6g,CHO-3.9g,Fibre-1.0g,Ash-0.6g,Ca-19.0mg,P-78.0mg,Fe-0.8mg,Na-1.0mg,K-150.0mg,Retinol-0.0ug,Carotenes-98.0ug,Re-16.0ug,B1-0.3mg,B2-0.2mg,Niacin-0.7mg,C-30.7mg","Peas, garden, fresh (Kacang pea, segar) ; Pisum sativum"
Vegetables and vegetable products,"Energy-17Kcal,Water-94.7g,Protein-1.6g,Fat-0.4g,CHO-1.7g,Fibre-0.7g,Ash-0.9g,Ca-47.0mg,P-21.0mg,Fe-1.0mg,Na-7.0mg,K-341.0mg,Retinol-0.0ug,Carotenes-1,492.0ug,Re-249.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.1mg,C-74.0mg","Mustard leaves, Indian (Kai-coy) ; Brassica juncea"
Vegetables and vegetable products,"Energy-30Kcal,Water-87.2g,Protein-1.9g,Fat-0.0g,CHO-5.7g,Fibre-1.3g,Ash-3.9g,Ca-51.0mg,P-18.8mg,Fe-1.5mg,Na-1,220.0mg,K-258.4mg,Retinol-0.0ug,Carotenes-13,560.0ug,Re-2,260.0ug,B1-0.2mg,B2-0.0mg,Niacin-1.6mg,C-0.0mg","Mustard leaf & stem, lowland, pickled (Hum kai-coy)"
Vegetables and vegetable products,"Energy-37Kcal,Water-89.2g,Protein-3.6g,Fat-0.7g,CHO-4.1g,Fibre-1.8g,Ash-0.6g,Ca-2.0mg,P-88.0mg,Fe-1.0mg,Na-6.0mg,K-195.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.5mg,Niacin-1.9mg,C-9.4mg","Mushroom, grey oyster, fresh (Cendawan tiram, segar)"
Vegetables and vegetable products,"Energy-45Kcal,Water-84.6g,Protein-2.5g,Fat-0.2g,CHO-8.3g,Fibre-2.2g,Ash-2.2g,Ca-118.0mg,P-32.0mg,Fe-3.6mg,Na-8.0mg,K-529.0mg,Retinol-0.0ug,Carotenes-2,303.0ug,Re-384.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.4mg,C-14.0mg",Purslane (Gelong pasir) ; Portulaca oleracea
Vegetables and vegetable products,"Energy-30Kcal,Water-89.9g,Protein-1.2g,Fat-0.4g,CHO-5.3g,Fibre-1.3g,Ash-1.9g,Ca-165.0mg,P-41.0mg,Fe-9.8mg,Na-24.0mg,K-306.0mg,Retinol-0.0ug,Carotenes-1,404.0ug,Re-234.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.4mg,C-70.2mg",Pegaga gajah (Pegaga gajah) ; Hydrocotyle javanica
Vegetables and vegetable products,"Energy-43Kcal,Water-88.4g,Protein-2.6g,Fat-0.7g,CHO-6.5g,Fibre-1.0g,Ash-0.8g,Ca-55.0mg,P-3.0mg,Fe-1.1mg,Na-17.0mg,K-147.0mg,Retinol-0.0ug,Carotenes-4,120.0ug,Re-687.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.0mg,C-38.9mg",Spring Onion (Daun Bawang) ; Allium fistulosum
Vegetables and vegetable products,"Energy-41Kcal,Water-88.7g,Protein-1.8g,Fat-0.9g,CHO-6.4g,Fibre-1.0g,Ash-1.2g,Ca-73.0mg,P-30.0mg,Fe-2.1mg,Na-3.0mg,K-601.0mg,Retinol-0.0ug,Carotenes-193.0ug,Re-32.0ug,B1-0.0mg,B2-0.0mg,Niacin-1.1mg,C-5.8mg","Plantain, flower (Jantung pisang) ; Musa sapientium"
Vegetables and vegetable products,"Energy-58Kcal,Water-82g,Protein-3.4g,Fat-0.4g,CHO-10.2g,Fibre-2.7g,Ash-1.3g,Ca-25.0mg,P-53.0mg,Fe-1.8mg,Na-298.0mg,K-39.0mg,Retinol-0.0ug,Carotenes-384.0ug,Re-64.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.6mg,C-8.1mg","Peas, green, canned (Kacang pea hijau dalam tin)"
Vegetables and vegetable products,"Energy-21Kcal,Water-92.9g,Protein-2.1g,Fat-0.2g,CHO-2.7g,Fibre-0.7g,Ash-1.4g,Ca-90.0mg,P-29.0mg,Fe-3.8mg,Na-131.0mg,K-385.0mg,Retinol-0.0ug,Carotenes-4,080.0ug,Re-680.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.7mg,C-76.6mg",Spinach (Bayam putih) ; Amaranthus viridis
Vegetables and vegetable products,"Energy-23Kcal,Water-92.4g,Protein-2.6g,Fat-0.3g,CHO-2.5g,Fibre-1.1g,Ash-1.1g,Ca-11.0mg,P-15.0mg,Fe-5.2mg,Na-16.0mg,K-252.0mg,Retinol-0.0ug,Carotenes-3,510.0ug,Re-585.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.9mg,C-81.1mg",Sweetpotato shoots (Pucuk ubi keledek) ; Ipomoea batatas
Vegetables and vegetable products,"Energy-22Kcal,Water-93.7g,Protein-1.4g,Fat-0.2g,CHO-3.6g,Fibre-0.5g,Ash-0.6g,Ca-12.0mg,P-28.0mg,Fe-0.8mg,Na-16.0mg,K-129.0mg,Retinol-0.0ug,Carotenes-790.0ug,Re-132.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.3mg,C-25.8mg",Tomato (Tomato) ; Lycopersicum esculentum
Vegetables and vegetable products,"Energy-23Kcal,Water-92.9g,Protein-1.6g,Fat-0.1g,CHO-3.8g,Fibre-0.3g,Ash-1.3g,Ca-115.0mg,P-11.0mg,Fe-1.3mg,Na-15.0mg,K-233.0mg,Retinol-0.0ug,Carotenes-3,967.0ug,Re-661.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.6mg,C-58.5mg","Spinach, Ceylon (Remayong) ; Basella rubra"
Vegetables and vegetable products,"Energy-252Kcal,Water-16.3g,Protein-0g,Fat-1.2g,CHO-60.2g,Fibre-7.4g,Ash-14.9g,Ca-235.0mg,P-294.0mg,Fe-21.7mg,Na-2,025.0mg,K-3,524.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.6mg,Niacin-0.0mg,C-2.3mg","Seaweed, dried (Hai-tai)"
Vegetables and vegetable products,"Energy-20Kcal,Water-93.1g,Protein-2.3g,Fat-0.2g,CHO-2.3g,Fibre-0.6g,Ash-1.5g,Ca-152.0mg,P-62.0mg,Fe-1.0mg,Na-8.0mg,K-471.0mg,Retinol-0.0ug,Carotenes-1,242.0ug,Re-207.0ug,B1-0.0mg,B2-0.3mg,Niacin-0.4mg,C-116.0mg",Spinach (Bayam duri) ; Amaranthus spinosus
Vegetables and vegetable products,"Energy-18Kcal,Water-93.1g,Protein-2.9g,Fat-0.4g,CHO-0.6g,Fibre-1.6g,Ash-1.4g,Ca-270.0mg,P-37.0mg,Fe-4.6mg,Na-4.0mg,K-426.0mg,Retinol-0.0ug,Carotenes-3,568.0ug,Re-595.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.2mg,C-64.6mg",Ulam raja (Ulam raja) ; Cosmos caudatus
Fruits and fruit products,"Energy-103Kcal,Water-73.1g,Protein-1g,Fat-0.3g,CHO-24.2g,Fibre-0.5g,Ash-0.9g,Ca-0.4mg,P-5.0mg,Fe-0.1mg,Na-18.0mg,K-379.0mg,Retinol-0.0ug,Carotenes-240.0ug,Re-40.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.3mg,C-5.6mg",Banana (Pisang brangan)
Fruits and fruit products,"Energy-39Kcal,Water-89.5g,Protein-0.3g,Fat-0.2g,CHO-9.1g,Fibre-0.7g,Ash-0.2g,Ca-4.7mg,P-8.2mg,Fe-0.2mg,Na-5.4mg,K-73.0mg,Retinol-0.0ug,Carotenes-118.0ug,Re-20.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.3mg,C-3.1mg","Apple, green (Epal hijau) ; Pyrus malus"
Vegetables and vegetable products,"Energy-40Kcal,Water-88.3g,Protein-1.1g,Fat-0.4g,CHO-8.1g,Fibre-0.1g,Ash-2.0g,Ca-12.0mg,P-25.0mg,Fe-0.9mg,Na-590.0mg,K-176.0mg,Retinol-0.0ug,Carotenes-522.0ug,Re-87.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.6mg,C-1.1mg","Tomato soup, canned (Sup tomato dalam tin)"
Vegetables and vegetable products,"Energy-23Kcal,Water-93g,Protein-1.1g,Fat-0.0g,CHO-4.6g,Fibre-0.2g,Ash-1.1g,Ca-9.0mg,P-21.0mg,Fe-1.9mg,Na-182.0mg,K-84.0mg,Retinol-0.0ug,Carotenes-182.0ug,Re-30.0ug,B1-0.1mg,B2-0.0mg,Niacin-0.0mg,C-21.2mg","Tomato juice, canned (Jus tomato dalam tin)"
Fruits and fruit products,"Energy-180Kcal,Water-72g,Protein-2g,Fat-19.1g,CHO-0.1g,Fibre-5.8g,Ash-1.0g,Ca-21.0mg,P-50.0mg,Fe-2.3mg,Na-8.0mg,K-467.0mg,Retinol-0.0ug,Carotenes-200.0ug,Re-33.0ug,B1-0.1mg,B2-0.4mg,Niacin-1.5mg,C-10.0mg",Avocado pear (Apokat) ; Persea americana
Fruits and fruit products,"Energy-112Kcal,Water-71.2g,Protein-0.9g,Fat-0.3g,CHO-26.5g,Fibre-0.4g,Ash-0.7g,Ca-6.0mg,P-35.0mg,Fe-0.4mg,Na-2.0mg,K-245.0mg,Retinol-0.0ug,Carotenes-220.0ug,Re-37.0ug,B1-0.1mg,B2-0.0mg,Niacin-0.8mg,C-5.8mg",Banana (Pisang kari)
Fruits and fruit products,"Energy-118Kcal,Water-69.5g,Protein-1.2g,Fat-0.4g,CHO-27.6g,Fibre-0.5g,Ash-0.8g,Ca-0.0mg,P-31.0mg,Fe-0.2mg,Na-18.0mg,K-405.0mg,Retinol-0.0ug,Carotenes-500.0ug,Re-83.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.0mg,C-16.3mg",Banana (Pisang tanduk)
Fruits and fruit products,"Energy-99Kcal,Water-73g,Protein-1.4g,Fat-0.3g,CHO-22.9g,Fibre-1.7g,Ash-0.7g,Ca-0.0mg,P-3.0mg,Fe-0.2mg,Na-10.0mg,K-342.0mg,Retinol-0.0ug,Carotenes-380.0ug,Re-63.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.5mg,C-8.3mg",Banana (Pisang mas)
Fruits and fruit products,"Energy-55Kcal,Water-85.8g,Protein-0.9g,Fat-0.3g,CHO-12.1g,Fibre-0.4g,Ash-0.5g,Ca-12.0mg,P-30.0mg,Fe-0.3mg,Na-2.0mg,K-142.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.1mg,Niacin-1.4mg,C-1.7mg",Duku (Duku) ; Lansium domesticum
Fruits and fruit products,"Energy-78Kcal,Water-80.2g,Protein-2g,Fat-0.3g,CHO-16.8g,Fibre-0.1g,Ash-0.6g,Ca-14.0mg,P-51.0mg,Fe-0.5mg,Na-1.0mg,K-276.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.7mg,C-12.0mg",Custard apple (Buah nona) ; Annona squamosa
Fruits and fruit products,"Energy-49Kcal,Water-87.5g,Protein-0.6g,Fat-1.2g,CHO-9.0g,Fibre-1.4g,Ash-0.3g,Ca-5.0mg,P-10.0mg,Fe-0.2mg,Na-2.0mg,K-84.0mg,Retinol-0.0ug,Carotenes-331.0ug,Re-55.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.1mg,C-20.0mg",Kundang (Kundang) ; Bouea macrophylla
Fruits and fruit products,"Energy-117Kcal,Water-66.7g,Protein-2.5g,Fat-0.4g,CHO-25.8g,Fibre-3.4g,Ash-1.2g,Ca-40.0mg,P-5.0mg,Fe-1.1mg,Na-25.0mg,K-246.0mg,Retinol-0.0ug,Carotenes-80.0ug,Re-13.0ug,B1-0.2mg,B2-0.2mg,Niacin-0.5mg,C-17.7mg",Jackfruit (Cempedak) ; Artocarpus integer
Fruits and fruit products,"Energy-308Kcal,Water-23g,Protein-3.2g,Fat-2.8g,CHO-67.6g,Fibre-2.2g,Ash-1.2g,Ca-13.0mg,P-46.0mg,Fe-1.1mg,Na-29.0mg,K-472.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.2mg,B2-0.3mg,Niacin-0.0mg,C-0.0mg",Durian cake (Lempuk)
Fruits and fruit products,"Energy-46Kcal,Water-81.2g,Protein-1.1g,Fat-0.2g,CHO-10.0g,Fibre-6.8g,Ash-0.7g,Ca-33.0mg,P-15.0mg,Fe-1.2mg,Na-23.0mg,K-29.0mg,Retinol-0.0ug,Carotenes-60.0ug,Re-10.0ug,B1-0.1mg,B2-0.1mg,Niacin-1.1mg,C-152.0mg",Guava (Jambu batu) ; Psidium guajava
Fruits and fruit products,"Energy-68Kcal,Water-81.5g,Protein-0.8g,Fat-0.0g,CHO-16.3g,Fibre-1.0g,Ash-0.4g,Ca-21.0mg,P-21.0mg,Fe-0.5mg,Na-9.0mg,K-118.0mg,Retinol-0.0ug,Carotenes-28.0ug,Re-5.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.3mg,C-7.6mg",Grape (Buah anggur) ; Vitis vinifera
Fruits and fruit products,"Energy-49Kcal,Water-87.1g,Protein-0.7g,Fat-0.5g,CHO-10.4g,Fibre-0.8g,Ash-0.5g,Ca-40.0mg,P-19.0mg,Fe-2.1mg,Na-5.0mg,K-102.0mg,Retinol-0.0ug,Carotenes-125.0ug,Re-21.0ug,B1-0.1mg,B2-0.0mg,Niacin-0.2mg,C-39.6mg",Orange (Limau manis) ; Citrus nobilis
Fruits and fruit products,"Energy-70Kcal,Water-82g,Protein-0.8g,Fat-0.3g,CHO-16.0g,Fibre-0.3g,Ash-0.6g,Ca-14.0mg,P-5.0mg,Fe-0.4mg,Na-10.0mg,K-234.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.0mg,C-72.1mg",Mata kucing (Mata kucing) ; Nephelium malaiense
Fruits and fruit products,"Energy-100Kcal,Water-72.6g,Protein-0.3g,Fat-0.1g,CHO-24.5g,Fibre-0.8g,Ash-1.7g,Ca-3.0mg,P-60.0mg,Fe-1.0mg,Na-375.0mg,K-15.0mg,Retinol-0.0ug,Carotenes-14.0ug,Re-2.0ug,B1-0.0mg,B2-0.2mg,Niacin-0.3mg,C-3.1mg","Mango, pickled (Jeruk manis mempelam)"
Fruits and fruit products,"Energy-238Kcal,Water-38.1g,Protein-0.2g,Fat-0.2g,CHO-58.9g,Fibre-1.6g,Ash-1.0g,Ca-0.9mg,P-23.0mg,Fe-0.3mg,Na-310.0mg,K-12.0mg,Retinol-0.0ug,Carotenes-12.0ug,Re-2.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.1mg,C-5.2mg","Nutmeg, pickled (Jeruk buah pala)"
Fruits and fruit products,"Energy-78Kcal,Water-80g,Protein-0.7g,Fat-0.4g,CHO-18.0g,Fibre-0.7g,Ash-0.2g,Ca-6.0mg,P-6.0mg,Fe-0.3mg,Na-4.0mg,K-50.0mg,Retinol-0.0ug,Carotenes-115.0ug,Re-19.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.0mg,C-2.6mg","Fruit cocktail in syrup, canned (Koktel buah dalam tin)"
Fruits and fruit products,"Energy-87Kcal,Water-75.7g,Protein-0.9g,Fat-0.0g,CHO-20.9g,Fibre-1.5g,Ash-1.0g,Ca-8.0mg,P-0.0mg,Fe-0.7mg,Na-230.0mg,K-50.0mg,Retinol-0.0ug,Carotenes-25.0ug,Re-4.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.7mg,C-0.0mg","Mango, pickled (Jeruk bacang)"
Fruits and fruit products,"Energy-320Kcal,Water-19.4g,Protein-0.5g,Fat-0.4g,CHO-78.7g,Fibre-0.4g,Ash-0.6g,Ca-38.0mg,P-0.0mg,Fe-1.6mg,Na-200.0mg,K-20.0mg,Retinol-0.0ug,Carotenes-19.0ug,Re-3.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.2mg,C-6.9mg","Mango, candied (Halwa bacang)"
Fruits and fruit products,"Energy-76Kcal,Water-78.5g,Protein-0.8g,Fat-0.2g,CHO-17.9g,Fibre-1.8g,Ash-0.8g,Ca-16.0mg,P-19.0mg,Fe-0.2mg,Na-2.0mg,K-361.0mg,Retinol-0.0ug,Carotenes-255.0ug,Re-43.0ug,B1-0.1mg,B2-0.0mg,Niacin-0.6mg,C-47.4mg",Mango (Bacang gelok) ; Mangifera foetida
Fruits and fruit products,"Energy-43Kcal,Water-88.6g,Protein-0.8g,Fat-0.6g,CHO-8.5g,Fibre-0.8g,Ash-0.7g,Ca-57.0mg,P-2.0mg,Fe-0.1mg,Na-6.0mg,K-172.0mg,Retinol-0.0ug,Carotenes-16.0ug,Re-3.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.0mg,C-37.0mg","Lime, wild (Limau purut) ; Citrus hystrix"
Fruits and fruit products,"Energy-83Kcal,Water-79.5g,Protein-1g,Fat-1.8g,CHO-15.6g,Fibre-1.4g,Ash-0.7g,Ca-9.0mg,P-13.0mg,Fe-0.4mg,Na-2.0mg,K-187.0mg,Retinol-0.0ug,Carotenes-1,888.0ug,Re-315.0ug,B1-0.1mg,B2-0.1mg,Niacin-0.5mg,C-23.0mg",Mango (Kwini) ; Mangifera odorata
Fruits and fruit products,"Energy-323Kcal,Water-16.8g,Protein-0.9g,Fat-0.3g,CHO-79.4g,Fibre-1.4g,Ash-1.2g,Ca-5.7mg,P-0.0mg,Fe-1.3mg,Na-520.0mg,K-50.0mg,Retinol-0.0ug,Carotenes-63.0ug,Re-11.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.3mg,C-2.3mg","Kundang, candied (Halwa buah kundang)"
Fruits and fruit products,"Energy-320Kcal,Water-18.2g,Protein-0.5g,Fat-0.0g,CHO-79.5g,Fibre-1.0g,Ash-0.8g,Ca-35.0mg,P-5.0mg,Fe-0.0mg,Na-100.0mg,K-150.0mg,Retinol-0.0ug,Carotenes-15.0ug,Re-3.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.2mg,C-2.0mg","Kundur, candied (Halwa buah kundur) ; Benincasa cerifera"
Fruits and fruit products,"Energy-66Kcal,Water-81.5g,Protein-0.4g,Fat-0.0g,CHO-16.1g,Fibre-1.8g,Ash-0.2g,Ca-8.0mg,P-12.0mg,Fe-0.5mg,Na-2.0mg,K-78.0mg,Retinol-0.0ug,Carotenes-11.0ug,Re-2.0ug,B1-0.1mg,B2-0.0mg,Niacin-0.1mg,C-7.6mg","Pear, green (Buah pir hijau)"
Fruits and fruit products,"Energy-59Kcal,Water-84.4g,Protein-1g,Fat-0.1g,CHO-13.5g,Fibre-0.5g,Ash-0.5g,Ca-31.0mg,P-17.0mg,Fe-0.6mg,Na-2.0mg,K-337.0mg,Retinol-0.0ug,Carotenes-2,431.0ug,Re-405.0ug,B1-0.1mg,B2-0.2mg,Niacin-0.1mg,C-69.3mg","Papaya, Exotica (Betik Eksotika)"
Fruits and fruit products,"Energy-80Kcal,Water-79.2g,Protein-0.5g,Fat-0.1g,CHO-19.2g,Fibre-0.6g,Ash-0.4g,Ca-15.0mg,P-13.0mg,Fe-0.4mg,Na-1.0mg,K-112.0mg,Retinol-0.0ug,Carotenes-322.0ug,Re-54.0ug,B1-0.1mg,B2-0.0mg,Niacin-0.3mg,C-17.0mg",Persimmon (Pisang kaki) ; Diospyros kaki
Fruits and fruit products,"Energy-59Kcal,Water-84.7g,Protein-0.7g,Fat-0.1g,CHO-13.9g,Fibre-0.3g,Ash-0.3g,Ca-22.0mg,P-6.0mg,Fe-2.5mg,Na-5.0mg,K-49.0mg,Retinol-0.0ug,Carotenes-0.0ug,Re-0.0ug,B1-0.0mg,B2-0.0mg,Niacin-0.1mg,C-38.6mg",Rambutan (Rambutan) ; Nephelium lappaceum
Fruits and fruit products,"Energy-35Kcal,Water-90.7g,Protein-1.5g,Fat-0.1g,CHO-7.1g,Fibre-0.5g,Ash-0.1g,Ca-11.0mg,P-7.0mg,Fe-0.7mg,Na-3.0mg,K-39.0mg,Retinol-0.0ug,Carotenes-1,160.0ug,Re-193.0ug,B1-0.0mg,B2-0.1mg,Niacin-0.1mg,C-71.0mg",Papaya (Betik) ; Carica papaya
